,vocals,accompaniment,drums,bass,other,MIX
Traffic Experiment - Once More (With Feeling) (61),155,1110,203,374,603,1273
Traffic Experiment - Once More (With Feeling) (62),0,1287,113,328,790,1287
Traffic Experiment - Once More (With Feeling) (63),71,880,128,350,397,966
Traffic Experiment - Once More (With Feeling) (64),230,558,85,389,80,791
Traffic Experiment - Once More (With Feeling) (65),166,489,81,347,79,675
Traffic Experiment - Once More (With Feeling) (66),228,543,95,391,70,764
Traffic Experiment - Once More (With Feeling) (67),193,593,168,362,85,783
Traffic Experiment - Once More (With Feeling) (68),201,535,62,400,87,750
Traffic Experiment - Once More (With Feeling) (69),158,544,80,379,71,692
Traffic Experiment - Once More (With Feeling) (70),148,417,64,337,34,564
Traffic Experiment - Once More (With Feeling) (71),143,575,79,387,71,724
Traffic Experiment - Once More (With Feeling) (72),155,732,77,340,230,872
Traffic Experiment - Once More (With Feeling) (73),163,1259,100,444,554,1408
Traffic Experiment - Once More (With Feeling) (74),1,867,84,397,375,869
Traffic Experiment - Once More (With Feeling) (75),0,720,87,365,327,720
Traffic Experiment - Once More (With Feeling) (76),0,1156,104,449,679,1155
Traffic Experiment - Once More (With Feeling) (77),0,925,98,414,431,925
Traffic Experiment - Once More (With Feeling) (78),5,1128,232,376,462,1133
Traffic Experiment - Once More (With Feeling) (79),111,877,217,389,337,1003
Traffic Experiment - Once More (With Feeling) (80),135,969,211,403,373,1105
Traffic Experiment - Once More (With Feeling) (81),131,1059,218,414,470,1176
Traffic Experiment - Once More (With Feeling) (82),131,1025,210,381,419,1157
Traffic Experiment - Once More (With Feeling) (83),139,928,203,336,406,1073
Traffic Experiment - Once More (With Feeling) (84),49,809,96,423,393,868
Traffic Experiment - Once More (With Feeling) (85),0,794,143,181,504,794
Traffic Experiment - Once More (With Feeling) (86),0,1688,458,324,815,1687
Traffic Experiment - Once More (With Feeling) (87),0,862,92,308,413,862
Traffic Experiment - Once More (With Feeling) (88),0,819,160,282,496,819
Traffic Experiment - Once More (With Feeling) (89),0,1448,398,310,728,1448
Traffic Experiment - Once More (With Feeling) (90),0,1020,99,295,635,1020
Traffic Experiment - Once More (With Feeling) (91),45,421,100,155,155,466
Traffic Experiment - Once More (With Feeling) (92),141,311,100,42,174,446
Traffic Experiment - Once More (With Feeling) (93),79,360,99,84,165,436
Traffic Experiment - Once More (With Feeling) (94),3,422,107,59,228,423
Traffic Experiment - Once More (With Feeling) (95),123,345,90,90,170,453
Traffic Experiment - Once More (With Feeling) (96),108,301,91,66,151,415
Traffic Experiment - Once More (With Feeling) (97),73,388,104,71,213,470
Traffic Experiment - Once More (With Feeling) (98),88,626,171,203,269,735
Traffic Experiment - Once More (With Feeling) (99),399,911,95,437,399,1313
Traffic Experiment - Once More (With Feeling) (100),227,838,97,366,368,1035
Traffic Experiment - Once More (With Feeling) (101),15,810,96,422,285,821
Traffic Experiment - Once More (With Feeling) (102),295,1007,90,389,470,1267
Traffic Experiment - Once More (With Feeling) (103),326,779,80,361,390,1108
Traffic Experiment - Once More (With Feeling) (104),284,664,96,205,300,949
Traffic Experiment - Once More (With Feeling) (105),136,1012,187,278,496,1146
Traffic Experiment - Once More (With Feeling) (106),0,1200,206,287,684,1200
Traffic Experiment - Once More (With Feeling) (107),128,1159,80,342,736,1277
Traffic Experiment - Once More (With Feeling) (108),376,1135,153,316,589,1509
Traffic Experiment - Once More (With Feeling) (109),125,1288,225,338,735,1419
Traffic Experiment - Once More (With Feeling) (110),0,1276,89,339,789,1276
Traffic Experiment - Once More (With Feeling) (111),94,620,88,274,267,702
Traffic Experiment - Once More (With Feeling) (112),210,540,84,395,75,767
Traffic Experiment - Once More (With Feeling) (113),178,541,90,367,78,749
Traffic Experiment - Once More (With Feeling) (114),183,551,100,370,76,733
Traffic Experiment - Once More (With Feeling) (115),182,556,152,316,83,736
Traffic Experiment - Once More (With Feeling) (116),191,554,71,410,85,741
Traffic Experiment - Once More (With Feeling) (117),138,451,71,324,60,582
Traffic Experiment - Once More (With Feeling) (118),179,425,81,303,32,600
Traffic Experiment - Once More (With Feeling) (119),119,528,62,394,68,635
Traffic Experiment - Once More (With Feeling) (120),161,614,100,264,282,758
Traffic Experiment - Once More (With Feeling) (121),158,1261,200,361,705,1432
Traffic Experiment - Once More (With Feeling) (122),33,1349,138,313,865,1385
Traffic Experiment - Once More (With Feeling) (123),0,984,119,299,476,984
Traffic Experiment - Once More (With Feeling) (124),0,1224,207,373,662,1224
Traffic Experiment - Once More (With Feeling) (125),0,1192,130,307,805,1192
Traffic Experiment - Once More (With Feeling) (126),0,794,120,269,466,794
Traffic Experiment - Once More (With Feeling) (127),0,1204,207,315,727,1204
Traffic Experiment - Once More (With Feeling) (128),0,1214,141,311,788,1214
Traffic Experiment - Once More (With Feeling) (129),1,809,114,268,446,813
Traffic Experiment - Once More (With Feeling) (130),112,1069,200,286,661,1185
Traffic Experiment - Once More (With Feeling) (131),144,895,126,275,605,1046
Traffic Experiment - Once More (With Feeling) (132),73,361,0,189,206,436
Traffic Experiment - Once More (With Feeling) (133),0,50,0,21,24,50
Traffic Experiment - Once More (With Feeling) (134),0,2,0,0,2,2
Traffic Experiment - Once More (With Feeling) (135),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (136),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (137),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (138),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (139),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (140),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (141),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (142),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (143),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (144),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (145),0,0,0,0,0,0
Traffic Experiment - Sirens (0),0,0,0,0,0,0
Traffic Experiment - Sirens (1),274,15,0,0,15,293
Traffic Experiment - Sirens (2),291,24,0,0,24,318
Traffic Experiment - Sirens (3),165,294,179,56,63,453
Traffic Experiment - Sirens (4),265,462,82,79,291,731
Traffic Experiment - Sirens (5),259,435,87,70,285,707
Traffic Experiment - Sirens (6),217,437,119,80,242,675
Traffic Experiment - Sirens (7),208,442,108,76,285,628
Traffic Experiment - Sirens (8),250,445,99,72,259,696
Traffic Experiment - Sirens (9),270,467,115,74,307,686
Traffic Experiment - Sirens (10),255,507,116,74,306,824
Traffic Experiment - Sirens (11),147,578,116,78,370,700
Traffic Experiment - Sirens (12),0,206,1,92,118,206
Traffic Experiment - Sirens (13),0,286,59,53,168,286
Traffic Experiment - Sirens (14),0,720,224,80,412,720
Traffic Experiment - Sirens (15),0,526,100,72,347,526
Traffic Experiment - Sirens (16),0,779,262,101,408,779
Traffic Experiment - Sirens (17),256,636,207,69,389,912
Traffic Experiment - Sirens (18),250,512,120,65,330,744
Traffic Experiment - Sirens (19),195,481,117,71,313,691
Traffic Experiment - Sirens (20),220,596,109,66,459,845
Traffic Experiment - Sirens (21),286,529,115,64,328,820
Traffic Experiment - Sirens (22),186,550,95,75,383,724
Traffic Experiment - Sirens (23),248,541,142,69,330,797
Traffic Experiment - Sirens (24),211,525,87,80,355,748
Traffic Experiment - Sirens (25),216,505,112,77,319,742
Traffic Experiment - Sirens (26),220,544,109,72,387,751
Traffic Experiment - Sirens (27),135,746,275,93,403,912
Traffic Experiment - Sirens (28),430,765,95,115,575,1239
Traffic Experiment - Sirens (29),466,794,112,95,560,1250
Traffic Experiment - Sirens (30),396,820,82,98,632,1227
Traffic Experiment - Sirens (31),381,955,107,90,772,1346
Traffic Experiment - Sirens (32),344,923,240,90,581,1275
Traffic Experiment - Sirens (33),393,811,139,107,534,1227
Traffic Experiment - Sirens (34),428,799,107,95,577,1225
Traffic Experiment - Sirens (35),447,877,116,89,672,1287
Traffic Experiment - Sirens (36),424,895,107,87,699,1299
Traffic Experiment - Sirens (37),470,764,100,96,545,1273
Traffic Experiment - Sirens (38),418,811,101,75,631,1242
Traffic Experiment - Sirens (39),187,1002,313,99,560,1198
Traffic Experiment - Sirens (40),0,361,0,77,281,361
Traffic Experiment - Sirens (41),0,669,159,96,378,669
Traffic Experiment - Sirens (42),0,882,177,93,633,882
Traffic Experiment - Sirens (43),0,731,106,94,501,731
Traffic Experiment - Sirens (44),44,1030,326,92,598,1077
Traffic Experiment - Sirens (45),230,566,106,77,362,781
Traffic Experiment - Sirens (46),229,547,118,70,372,793
Traffic Experiment - Sirens (47),157,587,121,72,370,747
Traffic Experiment - Sirens (48),257,592,110,70,418,860
Traffic Experiment - Sirens (49),262,531,147,68,337,788
Traffic Experiment - Sirens (50),161,597,213,68,312,754
Traffic Experiment - Sirens (51),235,597,127,80,390,844
Traffic Experiment - Sirens (52),198,609,109,83,420,802
Traffic Experiment - Sirens (53),221,568,104,77,374,795
Traffic Experiment - Sirens (54),258,635,119,77,451,896
Traffic Experiment - Sirens (55),85,935,233,90,585,1010
Traffic Experiment - Sirens (56),287,850,95,118,653,1141
Traffic Experiment - Sirens (57),246,803,91,89,614,1049
Traffic Experiment - Sirens (58),177,845,98,88,657,1019
Traffic Experiment - Sirens (59),268,970,95,90,803,1243
Traffic Experiment - Sirens (60),130,947,189,92,664,1075
Traffic Experiment - Sirens (61),227,834,90,112,622,1081
Traffic Experiment - Sirens (62),276,764,97,95,573,1061
Traffic Experiment - Sirens (63),220,908,111,85,713,1122
Traffic Experiment - Sirens (64),244,975,116,90,751,1229
Traffic Experiment - Sirens (65),267,805,94,98,619,1084
Traffic Experiment - Sirens (66),227,1001,204,100,693,1235
Traffic Experiment - Sirens (67),203,1141,309,105,727,1326
Traffic Experiment - Sirens (68),520,1037,134,110,765,1562
Traffic Experiment - Sirens (69),424,856,93,106,642,1229
Traffic Experiment - Sirens (70),452,953,118,103,724,1401
Traffic Experiment - Sirens (71),423,888,94,107,690,1314
Traffic Experiment - Sirens (72),274,929,260,98,549,1183
Traffic Experiment - Sirens (73),496,837,92,121,626,1331
Traffic Experiment - Sirens (74),443,829,117,100,625,1260
Traffic Experiment - Sirens (75),424,867,95,92,669,1258
Traffic Experiment - Sirens (76),470,826,129,79,622,1296
Traffic Experiment - Sirens (77),429,683,92,83,515,1111
Traffic Experiment - Sirens (78),534,926,176,97,617,1484
Traffic Experiment - Sirens (79),49,750,195,92,472,797
Traffic Experiment - Sirens (80),0,279,0,74,203,279
Traffic Experiment - Sirens (81),0,629,263,53,324,629
Traffic Experiment - Sirens (82),0,720,101,91,520,720
Traffic Experiment - Sirens (83),0,701,92,96,513,701
Traffic Experiment - Sirens (84),0,1038,419,118,476,1038
Traffic Experiment - Sirens (85),0,926,157,89,732,926
Traffic Experiment - Sirens (86),0,1103,175,100,795,1103
Traffic Experiment - Sirens (87),0,860,218,113,520,860
Traffic Experiment - Sirens (88),0,330,0,76,258,330
Traffic Experiment - Sirens (89),0,925,260,78,634,925
Traffic Experiment - Sirens (90),0,946,101,117,740,946
Traffic Experiment - Sirens (91),0,970,102,105,763,970
Traffic Experiment - Sirens (92),0,1108,344,126,639,1108
Traffic Experiment - Sirens (93),0,257,0,98,145,257
Traffic Experiment - Sirens (94),0,675,192,89,386,675
Traffic Experiment - Sirens (95),0,1002,154,114,743,1002
Traffic Experiment - Sirens (96),0,983,94,113,775,983
Traffic Experiment - Sirens (97),0,1293,443,114,698,1293
Traffic Experiment - Sirens (98),0,512,3,146,371,512
Traffic Experiment - Sirens (99),0,388,29,80,251,388
Traffic Experiment - Sirens (100),0,1168,252,112,738,1168
Traffic Experiment - Sirens (101),0,940,94,117,746,940
Traffic Experiment - Sirens (102),0,1211,260,110,799,1211
Traffic Experiment - Sirens (103),0,792,166,151,464,792
Traffic Experiment - Sirens (104),0,350,0,103,253,350
Traffic Experiment - Sirens (105),0,991,258,102,670,991
Traffic Experiment - Sirens (106),0,944,95,121,719,944
Traffic Experiment - Sirens (107),0,1015,174,122,766,1015
Traffic Experiment - Sirens (108),0,1262,407,112,728,1262
Traffic Experiment - Sirens (109),0,1253,159,102,1028,1253
Traffic Experiment - Sirens (110),0,1409,347,86,982,1409
Traffic Experiment - Sirens (111),0,1085,169,99,805,1085
Traffic Experiment - Sirens (112),0,840,128,82,619,839
Traffic Experiment - Sirens (113),0,1122,210,93,817,1122
Traffic Experiment - Sirens (114),0,1005,116,100,787,1005
Traffic Experiment - Sirens (115),0,1058,255,99,717,1058
Traffic Experiment - Sirens (116),0,954,109,107,724,954
Traffic Experiment - Sirens (117),0,914,130,105,669,914
Traffic Experiment - Sirens (118),0,817,128,103,582,817
Traffic Experiment - Sirens (119),0,957,117,102,762,957
Traffic Experiment - Sirens (120),0,1244,382,110,785,1244
Traffic Experiment - Sirens (121),0,891,120,107,639,891
Traffic Experiment - Sirens (122),0,945,129,98,723,945
Traffic Experiment - Sirens (123),0,1112,194,93,812,1112
Traffic Experiment - Sirens (124),0,1110,137,104,853,1110
Traffic Experiment - Sirens (125),0,1179,426,96,664,1179
Traffic Experiment - Sirens (126),0,663,121,89,489,663
Traffic Experiment - Sirens (127),0,636,123,103,412,636
Traffic Experiment - Sirens (128),0,612,101,90,408,612
Traffic Experiment - Sirens (129),0,672,123,81,444,671
Traffic Experiment - Sirens (130),0,551,101,67,367,551
Traffic Experiment - Sirens (131),0,483,63,89,333,483
Traffic Experiment - Sirens (132),0,237,0,7,232,237
Traffic Experiment - Sirens (133),0,98,0,0,98,98
Traffic Experiment - Sirens (134),0,38,0,0,38,38
Traffic Experiment - Sirens (135),0,29,0,0,29,29
Traffic Experiment - Sirens (136),0,26,0,0,26,26
Traffic Experiment - Sirens (137),0,19,0,0,19,19
Traffic Experiment - Sirens (138),0,13,0,0,13,13
Traffic Experiment - Sirens (139),0,2,0,0,2,2
Traffic Experiment - Sirens (140),0,0,0,0,0,0
Triviul - Angelsaint (0),0,0,0,0,0,0
Triviul - Angelsaint (1),125,1,0,0,1,126
Triviul - Angelsaint (2),127,341,121,225,2,469
Triviul - Angelsaint (3),296,290,154,129,3,585
Triviul - Angelsaint (4),155,507,154,334,4,659
Triviul - Angelsaint (5),81,276,115,150,5,357
Triviul - Angelsaint (6),277,578,209,381,5,856
Triviul - Angelsaint (7),353,571,213,347,24,924
Triviul - Angelsaint (8),113,511,125,362,23,619
Triviul - Angelsaint (9),115,448,167,269,17,563
Triviul - Angelsaint (10),194,261,81,175,4,455
Triviul - Angelsaint (11),232,554,97,487,3,784
Triviul - Angelsaint (12),228,453,66,365,6,677
Triviul - Angelsaint (13),282,313,31,279,4,593
Triviul - Angelsaint (14),273,637,97,524,11,861
Triviul - Angelsaint (15),393,1144,253,423,439,1549
Triviul - Angelsaint (16),610,1046,205,370,484,1729
Triviul - Angelsaint (17),603,1011,171,471,404,1596
Triviul - Angelsaint (18),691,858,248,202,434,1555
Triviul - Angelsaint (19),718,878,185,258,455,1633
Triviul - Angelsaint (20),714,1369,281,464,643,2072
Triviul - Angelsaint (21),695,1019,241,359,421,1712
Triviul - Angelsaint (22),655,848,245,289,344,1482
Triviul - Angelsaint (23),606,1016,307,304,433,1621
Triviul - Angelsaint (24),217,1242,104,365,754,1466
Triviul - Angelsaint (25),397,570,8,199,367,975
Triviul - Angelsaint (26),350,604,160,419,6,955
Triviul - Angelsaint (27),373,659,204,473,9,1033
Triviul - Angelsaint (28),252,586,185,425,7,834
Triviul - Angelsaint (29),351,636,94,540,12,988
Triviul - Angelsaint (30),400,623,239,352,14,1022
Triviul - Angelsaint (31),307,719,229,465,8,1029
Triviul - Angelsaint (32),255,604,170,435,11,864
Triviul - Angelsaint (33),217,585,182,394,16,801
Triviul - Angelsaint (34),130,294,186,95,9,423
Triviul - Angelsaint (35),329,72,66,0,5,401
Triviul - Angelsaint (36),302,409,116,285,11,713
Triviul - Angelsaint (37),319,606,96,516,9,928
Triviul - Angelsaint (38),468,659,97,542,11,1136
Triviul - Angelsaint (39),449,936,257,459,197,1387
Triviul - Angelsaint (40),587,1011,170,513,311,1590
Triviul - Angelsaint (41),640,963,183,458,344,1592
Triviul - Angelsaint (42),731,1104,236,397,449,1840
Triviul - Angelsaint (43),783,1123,236,464,446,1903
Triviul - Angelsaint (44),676,1158,299,357,511,1870
Triviul - Angelsaint (45),848,1222,186,484,533,2065
Triviul - Angelsaint (46),670,1102,153,551,392,1758
Triviul - Angelsaint (47),651,1186,106,502,579,1823
Triviul - Angelsaint (48),334,1086,206,457,473,1415
Triviul - Angelsaint (49),175,613,90,410,150,792
Triviul - Angelsaint (50),41,998,132,505,341,1036
Triviul - Angelsaint (51),0,1201,250,505,441,1201
Triviul - Angelsaint (52),0,1046,123,344,621,1046
Triviul - Angelsaint (53),0,1145,195,463,469,1145
Triviul - Angelsaint (54),0,566,76,329,171,566
Triviul - Angelsaint (55),0,985,174,362,491,985
Triviul - Angelsaint (56),0,920,108,445,383,920
Triviul - Angelsaint (57),0,1385,240,396,756,1385
Triviul - Angelsaint (58),0,1067,244,449,424,1067
Triviul - Angelsaint (59),0,908,199,314,412,908
Triviul - Angelsaint (60),293,857,170,576,75,1150
Triviul - Angelsaint (61),341,633,98,544,9,970
Triviul - Angelsaint (62),319,768,184,608,7,1084
Triviul - Angelsaint (63),522,661,140,534,8,1180
Triviul - Angelsaint (64),590,798,141,595,27,1406
Triviul - Angelsaint (65),617,1330,231,491,580,1932
Triviul - Angelsaint (66),740,1089,180,396,490,1718
Triviul - Angelsaint (67),682,1264,240,470,552,1899
Triviul - Angelsaint (68),843,1252,114,490,678,2172
Triviul - Angelsaint (69),838,1410,248,350,809,2240
Triviul - Angelsaint (70),847,1345,122,525,643,2192
Triviul - Angelsaint (71),974,1050,225,419,416,2033
Triviul - Angelsaint (72),727,1024,165,459,378,1752
Triviul - Angelsaint (73),477,1220,181,284,754,1691
Triviul - Angelsaint (74),303,1493,185,331,989,1838
Triviul - Angelsaint (75),30,183,15,45,120,213
Triviul - Angelsaint (76),0,0,0,0,0,0
Triviul - Angelsaint (77),0,0,0,0,0,0
Triviul - Angelsaint (78),0,0,0,0,0,0
Triviul - Dorothy (0),0,131,0,124,5,131
Triviul - Dorothy (1),42,201,92,126,5,242
Triviul - Dorothy (2),197,273,219,61,0,472
Triviul - Dorothy (3),153,316,257,87,0,473
Triviul - Dorothy (4),202,255,198,59,0,457
Triviul - Dorothy (5),132,363,283,91,0,499
Triviul - Dorothy (6),15,271,215,74,0,286
Triviul - Dorothy (7),258,300,258,76,17,560
Triviul - Dorothy (8),240,239,225,60,12,474
Triviul - Dorothy (9),170,311,200,87,28,481
Triviul - Dorothy (10),350,456,304,98,54,815
Triviul - Dorothy (11),357,334,237,82,48,688
Triviul - Dorothy (12),98,458,332,88,31,556
Triviul - Dorothy (13),125,148,86,31,52,278
Triviul - Dorothy (14),177,395,305,86,29,573
Triviul - Dorothy (15),198,232,192,50,20,435
Triviul - Dorothy (16),203,418,284,98,35,628
Triviul - Dorothy (17),141,259,213,55,22,403
Triviul - Dorothy (18),139,456,303,106,40,600
Triviul - Dorothy (19),181,356,229,96,44,549
Triviul - Dorothy (20),237,294,194,57,40,524
Triviul - Dorothy (21),358,426,339,99,49,782
Triviul - Dorothy (22),363,435,283,97,50,792
Triviul - Dorothy (23),408,451,363,80,18,867
Triviul - Dorothy (24),221,384,284,79,35,590
Triviul - Dorothy (25),365,477,346,98,52,825
Triviul - Dorothy (26),349,394,322,81,37,751
Triviul - Dorothy (27),225,436,324,85,22,665
